class_key,rank,feature,mean_abs_shap
Benign,1,fwd_pkts_s,0.0071953892724566
Benign,2,fwd_seg_size_min,0.0071707724608188
Benign,3,dst_port,0.006979775769957
Benign,4,bwd_header_len,0.0069485622212755
Benign,5,flow_duration,0.0065604690559752
Benign,6,subflow_fwd_byts,0.0063777049420338
Benign,7,init_fwd_win_byts,0.0062610575894943
Benign,8,fwd_iat_min,0.0062162281955157
Benign,9,bwd_pkt_len_std,0.0061893699778306
Benign,10,bwd_iat_max,0.0061664911015216
Others,1,bwd_pkt_len_mean,0.0079460536957934
Others,2,fwd_seg_size_min,0.0077350174350498
Others,3,bwd_header_len,0.0073994953186549
Others,4,ece_flag_cnt,0.0071881494537761
Others,5,subflow_bwd_pkts,0.0070298076794754
Others,6,pkt_len_mean,0.0069971121727481
Others,7,bwd_seg_size_avg,0.0069593294276803
Others,8,fwd_act_data_pkts,0.0066824308866251
Others,9,fwd_psh_flags,0.0065975192586763
Others,10,init_fwd_win_byts,0.0063661238861468
